Age,Gender,Salary,LastBuy,Count,Buy
25,مرد,20000,1/1/2022,3,بله
30,زن,30000,2/1/2022,2,خیر
28,مرد,25000,3/1/2022,4,بله
35,زن,40000,4/1/2022,1,خیر
40,مرد,35000,5/1/2022,5,بله
45,زن,45000,6/1/2022,3,خیر
20,مرد,15000,7/1/2022,2,بله
50,زن,50000,8/1/2022,4,خیر
55,مرد,42000,9/1/2022,1,بله
60,زن,38000,10/1/2022,3,خیر
30,مرد,25000,11/1/2022,1,بله
31,زن,26000,12/1/2022,2,خیر
32,مرد,27000,1/1/2022,3,بله
33,زن,28000,2/1/2022,4,خیر
34,مرد,29000,3/1/2022,5,بله
35,زن,30000,4/1/2022,6,خیر
36,مرد,31000,5/1/2022,7,بله
37,زن,32000,6/1/2022,8,خیر
38,مرد,33000,7/1/2022,9,بله
39,زن,34000,8/1/2022,10,خیر
40,مرد,35000,9/1/2022,1,بله
41,زن,36000,10/1/2022,2,خیر
42,مرد,37000,11/1/2022,3,بله
43,زن,38000,12/1/2022,4,خیر
44,مرد,39000,1/1/2022,5,بله
45,زن,40000,2/1/2022,6,خیر
46,مرد,41000,3/1/2022,7,بله
47,زن,42000,4/1/2022,8,خیر
48,مرد,43000,5/1/2022,9,بله
49,زن,44000,6/1/2022,10,خیر
50,مرد,45000,7/1/2022,1,بله
51,زن,46000,8/1/2022,2,خیر
52,مرد,47000,9/1/2022,3,بله
53,زن,48000,10/1/2022,4,خیر
54,مرد,49000,11/1/2022,5,بله
55,زن,15000,12/1/2022,6,خیر
56,مرد,16000,1/1/2022,7,بله
57,زن,17000,2/1/2022,8,خیر
58,مرد,18000,3/1/2022,9,بله
59,زن,19000,4/1/2022,10,خیر
20,مرد,20000,5/1/2022,1,بله
21,زن,21000,6/1/2022,2,خیر
22,مرد,22000,7/1/2022,3,بله
23,زن,23000,8/1/2022,4,خیر
24,مرد,24000,9/1/2022,5,بله
25,زن,25000,10/1/2022,6,خیر
26,مرد,26000,11/1/2022,7,بله
27,زن,27000,12/1/2022,8,خیر
28,مرد,28000,1/1/2022,9,بله
29,زن,29000,2/1/2022,10,خیر
30,مرد,30000,3/1/2022,1,بله
31,زن,31000,4/1/2022,2,خیر
32,مرد,32000,5/1/2022,3,بله
33,زن,33000,6/1/2022,4,خیر
34,مرد,34000,7/1/2022,5,بله
35,زن,35000,8/1/2022,6,خیر
36,مرد,36000,9/1/2022,7,بله
37,زن,37000,10/1/2022,8,خیر
38,مرد,38000,11/1/2022,9,بله
39,زن,39000,12/1/2022,10,خیر
40,مرد,40000,1/1/2022,1,بله
41,زن,41000,2/1/2022,2,خیر
42,مرد,42000,3/1/2022,3,بله
43,زن,43000,4/1/2022,4,خیر
44,مرد,44000,5/1/2022,5,بله
45,زن,45000,6/1/2022,6,خیر
46,مرد,46000,7/1/2022,7,بله
47,زن,47000,8/1/2022,8,خیر
48,مرد,48000,9/1/2022,9,بله
49,زن,49000,10/1/2022,10,خیر
50,مرد,15000,11/1/2022,1,بله
51,زن,16000,12/1/2022,2,خیر
52,مرد,17000,1/1/2022,3,بله
53,زن,18000,2/1/2022,4,خیر
54,مرد,19000,3/1/2022,5,بله
55,زن,20000,4/1/2022,6,خیر
56,مرد,21000,5/1/2022,7,بله
57,زن,22000,6/1/2022,8,خیر
58,مرد,23000,7/1/2022,9,بله
59,زن,24000,8/1/2022,10,خیر
20,مرد,25000,9/1/2022,1,بله
21,زن,26000,10/1/2022,2,خیر
22,مرد,27000,11/1/2022,3,بله
23,زن,28000,12/1/2022,4,خیر
24,مرد,29000,1/1/2022,5,بله
25,زن,30000,2/1/2022,6,خیر
26,مرد,31000,3/1/2022,7,بله
27,زن,32000,4/1/2022,8,خیر
28,مرد,33000,5/1/2022,9,بله
29,زن,34000,6/1/2022,10,خیر
30,مرد,35000,7/1/2022,1,بله
31,زن,36000,8/1/2022,2,خیر
32,مرد,37000,9/1/2022,3,بله
33,زن,38000,10/1/2022,4,خیر
34,مرد,39000,11/1/2022,5,بله
35,زن,40000,12/1/2022,6,خیر
36,مرد,41000,1/1/2022,7,بله
37,زن,42000,2/1/2022,8,خیر
38,مرد,43000,3/1/2022,9,بله
39,زن,44000,4/1/2022,10,خیر
40,مرد,45000,5/1/2022,1,بله
41,زن,46000,6/1/2022,2,خیر
42,مرد,47000,7/1/2022,3,بله
43,زن,48000,8/1/2022,4,خیر
44,مرد,49000,9/1/2022,5,بله
45,زن,15000,10/1/2022,6,خیر
46,مرد,16000,11/1/2022,7,بله
47,زن,17000,12/1/2022,8,خیر
48,مرد,18000,1/1/2022,9,بله
49,زن,19000,2/1/2022,10,خیر
50,مرد,20000,3/1/2022,1,بله
51,زن,21000,4/1/2022,2,خیر
52,مرد,22000,5/1/2022,3,بله
53,زن,23000,6/1/2022,4,خیر
54,مرد,24000,7/1/2022,5,بله
55,زن,25000,8/1/2022,6,خیر
56,مرد,26000,9/1/2022,7,بله
57,زن,27000,10/1/2022,8,خیر
58,مرد,28000,11/1/2022,9,بله
59,زن,29000,12/1/2022,10,خیر
20,مرد,30000,1/1/2022,1,بله
21,زن,31000,2/1/2022,2,خیر
22,مرد,32000,3/1/2022,3,بله
23,زن,33000,4/1/2022,4,خیر
24,مرد,34000,5/1/2022,5,بله
25,زن,35000,6/1/2022,6,خیر
26,مرد,36000,7/1/2022,7,بله
27,زن,37000,8/1/2022,8,خیر
28,مرد,38000,9/1/2022,9,بله
29,زن,39000,10/1/2022,10,خیر
30,مرد,40000,11/1/2022,1,بله
31,زن,41000,12/1/2022,2,خیر
32,مرد,42000,1/1/2022,3,بله
33,زن,43000,2/1/2022,4,خیر
34,مرد,44000,3/1/2022,5,بله
35,زن,45000,4/1/2022,6,خیر
36,مرد,46000,5/1/2022,7,بله
37,زن,47000,6/1/2022,8,خیر
38,مرد,48000,7/1/2022,9,بله
39,زن,49000,8/1/2022,10,خیر
40,مرد,15000,9/1/2022,1,بله
41,زن,16000,10/1/2022,2,خیر
42,مرد,17000,11/1/2022,3,بله
43,زن,18000,12/1/2022,4,خیر
44,مرد,19000,1/1/2022,5,بله
45,زن,20000,2/1/2022,6,خیر
46,مرد,21000,3/1/2022,7,بله
47,زن,22000,4/1/2022,8,خیر
48,مرد,23000,5/1/2022,9,بله
49,زن,24000,6/1/2022,10,خیر
50,مرد,25000,7/1/2022,1,بله
51,زن,26000,8/1/2022,2,خیر
52,مرد,27000,9/1/2022,3,بله
53,زن,28000,10/1/2022,4,خیر
54,مرد,29000,11/1/2022,5,بله
55,زن,30000,12/1/2022,6,خیر
56,مرد,31000,1/1/2022,7,بله
57,زن,32000,2/1/2022,8,خیر
58,مرد,33000,3/1/2022,9,بله
59,زن,34000,4/1/2022,10,خیر
20,مرد,35000,5/1/2022,1,بله
21,زن,36000,6/1/2022,2,خیر
22,مرد,37000,7/1/2022,3,بله
23,زن,38000,8/1/2022,4,خیر
24,مرد,39000,9/1/2022,5,بله
25,زن,40000,10/1/2022,6,خیر
26,مرد,41000,11/1/2022,7,بله
27,زن,42000,12/1/2022,8,خیر
28,مرد,43000,1/1/2022,9,بله
29,زن,44000,2/1/2022,10,خیر
30,مرد,45000,3/1/2022,1,بله
31,زن,46000,4/1/2022,2,خیر
32,مرد,47000,5/1/2022,3,بله
33,زن,48000,6/1/2022,4,خیر
34,مرد,49000,7/1/2022,5,بله
35,زن,15000,8/1/2022,6,خیر
36,مرد,16000,9/1/2022,7,بله
37,زن,17000,10/1/2022,8,خیر
38,مرد,18000,11/1/2022,9,بله
39,زن,19000,12/1/2022,10,خیر
40,مرد,20000,1/1/2022,1,بله
41,زن,21000,2/1/2022,2,خیر
42,مرد,22000,3/1/2022,3,بله
43,زن,23000,4/1/2022,4,خیر
44,مرد,24000,5/1/2022,5,بله
45,زن,25000,6/1/2022,6,خیر
46,مرد,26000,7/1/2022,7,بله
47,زن,27000,8/1/2022,8,خیر
48,مرد,28000,9/1/2022,9,بله
49,زن,29000,10/1/2022,10,خیر
50,مرد,30000,11/1/2022,1,بله
51,زن,31000,12/1/2022,2,خیر
52,مرد,32000,1/1/2022,3,بله
53,زن,33000,2/1/2022,4,خیر
54,مرد,34000,3/1/2022,5,بله
55,زن,35000,4/1/2022,6,خیر
56,مرد,36000,5/1/2022,7,بله
57,زن,37000,6/1/2022,8,خیر
58,مرد,38000,7/1/2022,9,بله
59,زن,39000,8/1/2022,10,خیر
